month_key,fiscal_year,fiscal_month,fiscal_month_no,fiscal_quarter,weeks_in_month,channel_key,channel,division,department,plan_version,plan_sales_dollars,plan_sales_units,plan_aur,plan_markdown_dollars,plan_shrink_dollars,plan_gross_margin_pct,plan_gross_margin_dollars,plan_bom_retail,plan_eom_retail,plan_receipts_retail,plan_receipts_cost,plan_weeks_of_supply,plan_turn
FY2025-09,2025,Oct,9,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,30695.62,583,52.63,4184.58,122.78,0.5037,15460.62,69557.48,83153.62,48599.13,17495.69,9.1,0.402
FY2025-10,2025,Nov,10,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,44201.7,840,52.63,6720.77,176.81,0.488,21568.31,83153.62,132865.39,100811.04,36291.97,7.5,0.409
FY2025-11,2025,Dec,11,Q4,5,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,47885.17,910,52.63,7113.36,191.54,0.4914,23533.15,132865.39,107273.18,29597.86,10655.23,13.9,0.399
FY2025-12,2025,Jan,12,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,19338.24,367,52.63,2669.13,77.35,0.502,9707.34,107273.18,85188.45,0.0,0.0,22.2,0.201
FY2026-01,2026,Feb,1,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,26803.42,509,52.63,3380.82,107.21,0.5139,13773.36,85188.45,81662.61,26765.62,9635.62,12.7,0.321
FY2026-02,2026,Mar,2,Q1,5,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,38394.08,730,52.63,5618.28,153.58,0.4937,18953.93,81662.61,85966.46,48469.79,17449.12,10.6,0.458
FY2026-03,2026,Apr,3,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,42740.58,812,52.63,6207.75,170.96,0.4948,21146.22,85966.46,126487.86,89640.69,32270.65,8.0,0.402
FY2026-04,2026,May,4,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,39480.71,750,52.63,5465.35,157.92,0.5016,19802.31,126487.86,117671.76,36287.88,13063.64,12.8,0.323
FY2026-05,2026,Jun,5,Q2,5,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,35858.63,681,52.63,4469.82,143.43,0.5153,18479.7,117671.76,81966.01,4766.13,1715.81,16.4,0.359
FY2026-06,2026,Jul,6,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,30425.5,578,52.63,4006.79,121.7,0.5083,15465.53,81966.01,85739.09,38327.08,13797.75,10.8,0.363
FY2026-07,2026,Aug,7,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,31874.33,606,52.63,4302.57,127.5,0.505,16097.0,85739.09,88901.88,39467.19,14208.19,10.8,0.365
FY2026-08,2026,Sep,8,Q3,5,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,34409.79,654,52.63,5226.16,137.64,0.4881,16796.1,88901.88,81232.86,32104.57,11557.64,12.9,0.405
FY2026-09,2026,Oct,9,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,36220.83,688,52.63,5308.44,144.88,0.4934,17872.9,81232.86,102071.73,62513.02,22504.69,9.0,0.395
FY2026-10,2026,Nov,10,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,52158.0,991,52.63,7724.36,208.63,0.4919,25656.76,102071.73,156492.76,114512.03,41224.33,7.8,0.403
FY2026-11,2026,Dec,11,Q4,5,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,56504.5,1074,52.63,6833.38,226.02,0.5191,29329.5,156492.76,129123.17,36194.31,13029.95,13.8,0.396
FY2026-12,2026,Jan,12,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Original Plan,22819.13,434,52.63,2748.7,91.28,0.5195,11855.54,129123.17,103464.07,0.0,0.0,22.6,0.196
FY2024-01,2024,Feb,1,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,19507.93,371,52.63,2478.71,78.03,0.5129,10006.37,56753.09,54178.7,19490.28,7016.5,11.6,0.352
FY2024-02,2024,Mar,2,Q1,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,28302.17,538,52.63,4009.03,113.21,0.4983,14104.36,54178.7,62747.29,40993.01,14757.48,9.6,0.484
FY2024-03,2024,Apr,3,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,32083.09,610,52.63,4129.51,128.33,0.5113,16403.66,62747.29,95277.56,68871.2,24793.63,7.8,0.406
FY2024-04,2024,May,4,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,30092.48,572,52.63,4323.39,120.37,0.4963,14935.79,95277.56,85366.71,24625.39,8865.14,12.7,0.333
FY2024-05,2024,Jun,5,Q2,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,27197.65,517,52.63,4213.62,108.79,0.4851,13192.87,85366.71,58928.81,5082.15,1829.58,15.7,0.377
FY2024-06,2024,Jul,6,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,23752.17,451,52.63,3627.6,95.01,0.4873,11573.79,58928.81,71948.33,40494.3,14577.95,9.9,0.363
FY2024-07,2024,Aug,7,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,23623.64,449,52.63,2726.67,94.49,0.5246,12392.45,71948.33,70783.46,25279.93,9100.78,12.2,0.331
FY2024-08,2024,Sep,8,Q3,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,25938.61,493,52.63,3313.54,103.75,0.5123,13287.17,70783.46,61955.31,20527.77,7390.0,13.6,0.391
FY2024-09,2024,Oct,9,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,26108.82,496,52.63,3519.46,104.44,0.5052,13190.19,61955.31,73365.96,41143.36,14811.61,9.5,0.386
FY2024-10,2024,Nov,10,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,39754.64,755,52.63,5972.02,159.02,0.4898,19470.95,73365.96,120090.37,92610.08,33339.63,7.4,0.411
FY2024-11,2024,Dec,11,Q4,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,41534.39,789,52.63,5625.63,166.14,0.5046,20956.38,120090.37,90426.67,17662.46,6358.49,14.5,0.395
FY2024-12,2024,Jan,12,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,17724.23,337,52.63,2081.28,70.9,0.5226,9262.23,90426.67,70550.26,0.0,0.0,20.4,0.22
FY2025-01,2025,Feb,1,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,23285.35,442,52.63,3530.09,93.14,0.4884,11372.54,70550.26,70052.54,26410.86,9507.91,12.1,0.331
FY2025-02,2025,Mar,2,Q1,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,33584.84,638,52.63,4984.99,134.34,0.4916,16509.3,70052.54,75248.2,43899.83,15803.94,10.4,0.462
FY2025-03,2025,Apr,3,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,37668.55,716,52.63,4528.66,150.67,0.5198,19579.21,75248.2,113931.72,81031.4,29171.3,8.0,0.398
FY2025-04,2025,May,4,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,32537.16,618,52.63,4932.06,130.15,0.4884,15891.72,113931.72,91765.25,15432.9,5555.84,14.0,0.316
FY2025-05,2025,Jun,5,Q2,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,31002.84,589,52.63,4127.93,124.01,0.5069,15713.89,91765.25,72532.21,16021.73,5767.82,14.8,0.377
FY2025-06,2025,Jul,6,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,26274.37,499,52.63,3050.55,105.1,0.5239,13765.04,72532.21,79408.51,36306.31,13070.27,11.0,0.346
FY2025-07,2025,Aug,7,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,27107.74,515,52.63,4150.35,108.43,0.4869,13198.6,79408.51,82269.27,34227.28,12321.82,11.7,0.335
FY2025-08,2025,Sep,8,Q3,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,29295.75,557,52.63,4438.27,117.18,0.4885,14311.01,82269.27,66066.92,17648.86,6353.59,14.0,0.395
FY2025-09,2025,Oct,9,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,31444.12,597,52.63,4477.08,125.78,0.4976,15647.16,66066.92,93424.02,63404.09,22825.47,8.4,0.394
FY2025-10,2025,Nov,10,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,44268.24,841,52.63,6256.8,177.07,0.4987,22074.87,93424.02,132004.32,89282.42,32141.67,8.4,0.393
FY2025-11,2025,Dec,11,Q4,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,51448.18,978,52.63,7858.35,205.79,0.4873,25068.49,132004.32,113424.54,40932.54,14735.72,12.8,0.419
FY2025-12,2025,Jan,12,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,19661.98,374,52.63,2354.63,78.65,0.5202,10229.04,113424.54,91329.28,0.0,0.0,23.1,0.192
FY2026-01,2026,Feb,1,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,24458.46,465,52.63,2882.12,97.83,0.5222,12771.29,91329.28,69818.47,5927.6,2133.93,14.9,0.304
FY2026-02,2026,Mar,2,Q1,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,34023.17,646,52.63,4148.75,136.09,0.5181,17626.08,69818.47,78043.79,46533.34,16752.0,10.3,0.46
FY2026-03,2026,Apr,3,Q1,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,37920.76,721,52.63,5606.23,151.68,0.4922,18663.06,78043.79,104771.76,70406.64,25346.39,8.2,0.415
FY2026-04,2026,May,4,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,35452.14,674,52.63,5219.18,141.81,0.4928,17470.19,104771.76,105359.19,41400.56,14904.2,11.8,0.337
FY2026-05,2026,Jun,5,Q2,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,31808.02,604,52.63,3738.37,127.23,0.5225,16618.76,105359.19,70235.79,550.21,198.08,16.6,0.362
FY2026-06,2026,Jul,6,Q2,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,27801.75,528,52.63,3648.41,111.21,0.5088,14144.71,70235.79,77636.06,38961.65,14026.19,10.1,0.376
FY2026-07,2026,Aug,7,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,27875.33,530,52.63,4253.88,111.5,0.4874,13586.33,77636.06,84165.27,38769.92,13957.17,11.1,0.345
FY2026-08,2026,Sep,8,Q3,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,30898.79,587,52.63,3974.3,123.6,0.5114,15800.93,84165.27,75282.84,26114.26,9401.13,13.6,0.388
FY2026-09,2026,Oct,9,Q3,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,33184.53,631,52.63,3834.57,132.74,0.5244,17403.53,75282.84,99860.15,61729.14,22222.49,9.1,0.379
FY2026-10,2026,Nov,10,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,46875.8,891,52.63,5840.89,187.5,0.5154,24159.62,99860.15,129109.18,82153.23,29575.16,8.5,0.409
FY2026-11,2026,Dec,11,Q4,5,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,49496.77,940,52.63,6975.81,197.99,0.4991,24702.12,129109.18,118642.59,46203.98,16633.43,13.0,0.4
FY2026-12,2026,Jan,12,Q4,4,ECOM,Ecommerce,Boys,Sleepwear,Current Plan,20952.94,398,52.63,3087.41,83.81,0.4927,10322.47,118642.59,94518.43,0.0,0.0,22.6,0.197
FY2024-01,2024,Feb,1,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,9056.92,172,52.63,1036.67,81.51,0.5255,4759.76,27832.96,26622.21,8964.35,3227.16,12.3,0.333
FY2024-02,2024,Mar,2,Q1,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,12973.43,246,52.63,1429.52,116.76,0.5298,6873.48,26622.21,28555.62,16453.11,5923.12,10.3,0.47
FY2024-03,2024,Apr,3,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,14442.12,274,52.63,1395.57,129.98,0.5434,7847.39,28555.62,42893.92,30305.97,10910.15,7.9,0.404
FY2024-04,2024,May,4,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,13340.6,253,52.63,1537.49,120.07,0.5248,7000.49,42893.92,37365.27,9469.51,3409.02,12.9,0.332
FY2024-05,2024,Jun,5,Q2,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,12116.69,230,52.63,1276.33,109.05,0.5347,6478.36,37365.27,27120.36,3257.17,1172.58,15.4,0.376
FY2024-06,2024,Jul,6,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,10280.83,195,52.63,1207.98,92.53,0.5225,5371.76,27120.36,30544.14,15005.11,5401.84,10.6,0.357
FY2024-07,2024,Aug,7,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,10770.39,205,52.63,985.88,96.93,0.5485,5907.17,30544.14,30601.97,11911.04,4287.97,11.3,0.352
FY2024-08,2024,Sep,8,Q3,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,11627.13,221,52.63,1075.15,104.64,0.5475,6366.21,30601.97,27978.9,10183.85,3666.19,13.2,0.397
FY2024-09,2024,Oct,9,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,12239.08,233,52.63,1404.66,110.15,0.5252,6428.35,27978.9,36540.95,22315.95,8033.74,9.1,0.379
FY2024-10,2024,Nov,10,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,17624.28,335,52.63,1723.52,158.62,0.5422,9556.02,36540.95,51088.28,34053.74,12259.35,8.3,0.402
FY2024-11,2024,Dec,11,Q4,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,19092.97,363,52.63,2289.28,171.84,0.5201,9930.22,51088.28,43545.81,14011.62,5044.18,13.4,0.404
FY2024-12,2024,Jan,12,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,7710.62,147,52.63,854.2,69.4,0.5292,4080.6,43545.81,34911.59,0.0,0.0,22.6,0.197
FY2025-01,2025,Feb,1,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,10324.89,196,52.63,1073.36,92.92,0.536,5534.57,34911.59,31212.14,7791.72,2805.02,13.5,0.312
FY2025-02,2025,Mar,2,Q1,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,14789.71,281,52.63,1544.57,133.11,0.5356,7920.85,31212.14,33399.29,18654.53,6715.63,10.6,0.458
FY2025-03,2025,Apr,3,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,16464.02,313,52.63,1924.15,148.18,0.5231,8612.82,33399.29,49012.72,34149.77,12293.92,8.1,0.4
FY2025-04,2025,May,4,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,15208.29,289,52.63,1712.72,136.87,0.5274,8020.58,49012.72,44376.26,12421.42,4471.71,12.9,0.326
FY2025-05,2025,Jun,5,Q2,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,13813.03,262,52.63,1415.79,124.32,0.5375,7424.55,44376.26,31317.08,2293.96,825.83,16.1,0.365
FY2025-06,2025,Jul,6,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,11720.15,223,52.63,1287.57,105.48,0.5301,6213.32,31317.08,32724.42,14520.53,5227.39,10.7,0.366
FY2025-07,2025,Aug,7,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,12278.25,233,52.63,1165.47,110.5,0.5451,6692.6,32724.42,34937.88,15767.69,5676.37,10.7,0.363
FY2025-08,2025,Sep,8,Q3,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,13254.93,252,52.63,1253.86,119.29,0.5454,7229.29,34937.88,30805.79,10495.99,3778.56,13.2,0.403
FY2025-09,2025,Oct,9,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,13952.56,265,52.63,1639.75,125.57,0.5225,7289.89,30805.79,39362.58,24274.66,8738.88,8.8,0.398
FY2025-10,2025,Nov,10,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,20091.68,382,52.63,2333.03,180.83,0.5239,10525.65,39362.58,61218.4,44461.35,16006.09,7.8,0.4
FY2025-11,2025,Dec,11,Q4,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,21765.99,414,52.63,2268.35,195.89,0.5358,11661.88,61218.4,47952.11,10963.95,3947.02,14.1,0.399
FY2025-12,2025,Jan,12,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,8790.11,167,52.63,863.39,79.11,0.5418,4762.28,47952.11,38219.51,0.0,0.0,21.8,0.204
FY2026-01,2026,Feb,1,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,12183.37,231,52.63,1284.08,109.65,0.5346,6513.28,38219.51,36130.41,11488.0,4135.68,12.5,0.328
FY2026-02,2026,Mar,2,Q1,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,17451.86,332,52.63,2005.42,157.07,0.5251,9163.77,36130.41,38811.64,22295.58,8026.41,10.4,0.466
FY2026-03,2026,Apr,3,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,19427.54,369,52.63,2002.06,174.85,0.5369,10431.56,38811.64,54909.76,37702.56,13572.92,8.0,0.415
FY2026-04,2026,May,4,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,17945.78,341,52.63,1763.45,161.51,0.5417,9721.85,54909.76,51609.28,16570.27,5965.3,12.2,0.337
FY2026-05,2026,Jun,5,Q2,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,16299.38,310,52.63,1732.58,146.69,0.5337,8699.02,51609.28,37729.76,4299.13,1547.69,15.8,0.365
FY2026-06,2026,Jul,6,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,13829.77,263,52.63,1271.59,124.47,0.5481,7579.47,37729.76,39417.73,16913.79,6088.96,10.9,0.359
FY2026-07,2026,Aug,7,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,14488.33,275,52.63,1736.87,130.4,0.5201,7535.66,39417.73,41906.34,18844.22,6783.92,10.9,0.356
FY2026-08,2026,Sep,8,Q3,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,15640.81,297,52.63,1469.92,140.77,0.546,8540.2,41906.34,34492.72,9837.88,3541.64,13.4,0.409
FY2026-09,2026,Oct,9,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,16464.02,313,52.63,1787.81,148.18,0.5314,8749.16,34492.72,48586.98,32494.27,11697.94,8.4,0.396
FY2026-10,2026,Nov,10,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,23708.18,450,52.63,2305.24,213.37,0.5428,12867.99,48586.98,71222.88,48862.7,17590.57,8.2,0.396
FY2026-11,2026,Dec,11,Q4,5,STORE,Retail Stores,Boys,Sleepwear,Original Plan,25683.86,488,52.63,2763.48,231.15,0.5324,13674.19,71222.88,62311.2,19766.82,7116.05,13.9,0.385
FY2026-12,2026,Jan,12,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Original Plan,10372.33,197,52.63,1227.71,93.35,0.5216,5410.58,62311.2,50617.81,0.0,0.0,24.0,0.184
FY2024-01,2024,Feb,1,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,8969.67,170,52.63,1023.01,80.73,0.5259,4717.58,25565.65,24357.6,8865.36,3191.53,11.4,0.359
FY2024-02,2024,Mar,2,Q1,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,13248.97,252,52.63,1388.0,119.24,0.5352,7091.34,24357.6,31979.57,22378.19,8056.15,9.2,0.47
FY2024-03,2024,Apr,3,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,14426.68,274,52.63,1705.26,129.84,0.5218,7527.82,31979.57,42710.5,26992.71,9717.38,8.9,0.386
FY2024-04,2024,May,4,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,13535.98,257,52.63,1220.32,121.82,0.5498,7442.71,42710.5,37082.82,9250.45,3330.16,12.6,0.339
FY2024-05,2024,Jun,5,Q2,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,12311.96,234,52.63,1301.08,110.81,0.5343,6578.57,37082.82,27326.02,3967.04,1428.14,15.1,0.382
FY2024-06,2024,Jul,6,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,10162.89,193,52.63,1193.27,91.47,0.5226,5310.98,27326.02,30168.19,14289.79,5144.33,10.8,0.354
FY2024-07,2024,Aug,7,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,10971.57,208,52.63,1277.34,98.74,0.5236,5744.47,30168.19,32691.8,14871.25,5353.65,11.0,0.349
FY2024-08,2024,Sep,8,Q3,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,11773.22,224,52.63,1143.31,105.96,0.5429,6391.56,32691.8,27833.87,8164.57,2939.24,13.9,0.389
FY2024-09,2024,Oct,9,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,12617.76,240,52.63,1323.47,113.56,0.5351,6751.9,27833.87,37405.76,23626.68,8505.6,8.8,0.387
FY2024-10,2024,Nov,10,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,18435.07,350,52.63,2134.99,165.92,0.5242,9663.45,37405.76,54340.61,37670.83,13561.5,8.1,0.402
FY2024-11,2024,Dec,11,Q4,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,19099.1,363,52.63,2004.56,171.89,0.535,10218.86,54340.61,46016.55,12951.49,4662.54,14.2,0.381
FY2024-12,2024,Jan,12,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,7970.96,151,52.63,878.27,71.74,0.5298,4223.15,46016.55,37095.58,0.0,0.0,23.1,0.192
FY2025-01,2025,Feb,1,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,10341.99,197,52.63,1157.95,93.08,0.528,5460.92,37095.58,28942.49,3439.93,1238.37,14.3,0.313
FY2025-02,2025,Mar,2,Q1,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,14776.22,281,52.63,1757.57,132.99,0.5211,7699.21,28942.49,34346.77,22071.05,7945.58,9.8,0.467
FY2025-03,2025,Apr,3,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,17018.17,323,52.63,1968.53,153.16,0.5243,8923.1,34346.77,50250.33,35043.43,12615.63,8.1,0.402
FY2025-04,2025,May,4,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,15288.26,290,52.63,1752.86,137.59,0.5253,8031.63,50250.33,44789.74,11718.12,4218.52,13.1,0.322
FY2025-05,2025,Jun,5,Q2,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,13857.59,263,52.63,1623.22,124.72,0.5229,7245.64,44789.74,31836.5,2652.28,954.82,16.2,0.362
FY2025-06,2025,Jul,6,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,12179.74,231,52.63,1310.26,109.62,0.5324,6484.78,31836.5,33655.93,15419.05,5550.86,10.5,0.372
FY2025-07,2025,Aug,7,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,12081.0,230,52.63,1282.45,108.73,0.5338,6449.38,33655.93,34861.61,14677.86,5284.03,11.1,0.353
FY2025-08,2025,Sep,8,Q3,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,13395.45,255,52.63,1377.35,120.56,0.5372,7195.73,34861.61,30094.87,10126.61,3645.58,13.0,0.412
FY2025-09,2025,Oct,9,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,13747.06,261,52.63,1491.28,123.72,0.5315,7306.84,30094.87,38167.68,23434.87,8436.55,8.8,0.403
FY2025-10,2025,Nov,10,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,20278.41,385,52.63,2329.54,182.51,0.5251,10648.64,38167.68,55908.32,40531.09,14591.19,7.5,0.431
FY2025-11,2025,Dec,11,Q4,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,21730.19,413,52.63,2269.51,195.57,0.5356,11637.81,55908.32,47931.4,16218.35,5838.61,12.9,0.419
FY2025-12,2025,Jan,12,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,9293.26,177,52.63,1070.48,83.64,0.5248,4877.2,47931.4,37484.03,0.0,0.0,20.6,0.218
FY2026-01,2026,Feb,1,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,10872.01,207,52.63,1108.16,97.85,0.5381,5849.93,37484.03,32372.1,6966.09,2507.79,13.8,0.311
FY2026-02,2026,Mar,2,Q1,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,15576.75,296,52.63,1548.5,140.19,0.5406,8420.62,32372.1,35766.45,20659.79,7437.53,10.4,0.457
FY2026-03,2026,Apr,3,Q1,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,17150.91,326,52.63,1698.12,154.36,0.541,9278.47,35766.45,50791.07,34028.01,12250.08,8.3,0.396
FY2026-04,2026,May,4,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,15864.44,301,52.63,1582.78,142.78,0.5402,8570.47,50791.07,46951.32,13750.25,4950.09,12.8,0.325
FY2026-05,2026,Jun,5,Q2,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,14793.67,281,52.63,1586.18,133.14,0.5328,7881.77,46951.32,35405.57,4967.25,1788.21,15.9,0.359
FY2026-06,2026,Jul,6,Q2,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,12241.51,233,52.63,1197.21,110.17,0.5422,6637.36,35405.57,35342.02,13485.33,4854.72,11.6,0.346
FY2026-07,2026,Aug,7,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,12783.22,243,52.63,1449.03,115.05,0.5266,6732.24,35342.02,37624.18,16629.46,5986.61,11.1,0.35
FY2026-08,2026,Sep,8,Q3,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,13839.11,263,52.63,1293.31,124.55,0.5465,7563.71,37624.18,32403.94,10036.74,3613.22,13.6,0.395
FY2026-09,2026,Oct,9,Q3,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,14895.94,283,52.63,1510.2,134.06,0.5386,8023.2,32403.94,41789.18,25925.43,9333.15,8.7,0.402
FY2026-10,2026,Nov,10,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,21135.74,402,52.63,2374.41,190.22,0.5277,11152.46,41789.18,57841.43,39752.62,14310.94,7.9,0.424
FY2026-11,2026,Dec,11,Q4,5,STORE,Retail Stores,Boys,Sleepwear,Current Plan,23098.12,439,52.63,2547.47,207.88,0.5297,12235.33,57841.43,54489.23,22501.28,8100.46,12.5,0.411
FY2026-12,2026,Jan,12,Q4,4,STORE,Retail Stores,Boys,Sleepwear,Current Plan,9224.77,175,52.63,926.09,83.02,0.5396,4977.76,54489.23,44255.34,0.0,0.0,23.6,0.187
FY2024-01,2024,Feb,1,Q1,4,WHSL,Wholesale,Boys,Sleepwear,Original Plan,15631.76,388,40.31,325.7,15.63,0.4592,7177.54,15332.07,15448.79,16089.81,8366.7,3.9,1.016
FY2024-02,2024,Mar,2,Q1,5,WHSL,Wholesale,Boys,Sleepwear,Original Plan,13110.51,325,40.31,285.63,13.11,0.4582,6007.41,15448.79,11072.34,9032.79,4697.05,5.9,0.989
FY2024-03,2024,Apr,3,Q1,4,WHSL,Wholesale,Boys,Sleepwear,Original Plan,6252.7,155,40.31,120.41,6.25,0.4607,2880.89,11072.34,6258.78,1565.8,814.22,7.1,0.722
FY2024-04,2024,May,4,Q2,4,WHSL,Wholesale,Boys,Sleepwear,Original Plan,5546.75,138,40.31,99.19,5.55,0.4621,2563.25,6258.78,5713.47,5106.18,2655.21,4.5,0.927
