month_key,fiscal_year,fiscal_month,fiscal_month_no,channel_key,channel,division,department,plan_receipts_cost,on_order_cost,open_to_buy_cost,coverage_pct,lead_time_weeks,po_placement_by,po_status
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Outerwear,17451.26,17451.26,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Outerwear,8872.4,8586.73,285.67,0.9678,17.0,2026-05-03,Past due
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Outerwear,27335.99,21812.1,5523.89,0.7979,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Outerwear,38663.2,30884.74,7778.46,0.7988,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Outerwear,15021.15,10207.64,4813.51,0.6796,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Outerwear,0.0,0.0,0.0,,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Outerwear,5847.69,5847.69,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Outerwear,5592.72,5592.72,0.0,1.0,17.0,2026-05-03,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Outerwear,11285.16,9872.8,1412.36,0.8748,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Outerwear,17045.66,13646.45,3399.21,0.8006,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Outerwear,6310.53,4292.07,2018.46,0.6801,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Outerwear,0.0,0.0,0.0,,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Outerwear,106.68,106.68,0.0,1.0,17.0,2026-04-05,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Outerwear,8752.96,8752.96,0.0,1.0,17.0,2026-05-03,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Outerwear,13851.25,12481.9,1369.35,0.9011,17.0,2026-06-07,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Outerwear,3162.23,2165.18,997.05,0.6847,17.0,2026-07-05,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Outerwear,1911.96,1202.66,709.3,0.629,17.0,2026-08-02,Past due
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Outerwear,5191.85,2561.52,2630.33,0.4934,17.0,2026-09-06,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Sets,31790.52,31790.52,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Sets,31585.21,31585.21,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Sets,56545.34,48155.7,8389.64,0.8516,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Sets,93892.04,72329.8,21562.24,0.7704,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Sets,40036.97,26181.73,13855.24,0.6539,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Sets,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Sets,18938.87,18938.87,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Sets,9812.86,9185.5,627.36,0.9361,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Sets,23572.42,18222.08,5350.34,0.773,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Sets,41477.88,31408.08,10069.8,0.7572,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Sets,18600.08,11941.35,6658.73,0.642,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Sets,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Sets,0.0,0.0,0.0,,14.0,2026-04-26,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Sets,19918.75,18460.34,1458.41,0.9268,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Sets,35687.27,28228.14,7459.13,0.791,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Sets,4923.41,3954.0,969.41,0.8031,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Sets,4532.86,2905.66,1627.2,0.641,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Sets,13755.91,8902.68,4853.23,0.6472,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Sleepwear,36942.35,36942.35,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Sleepwear,27947.84,27947.84,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Sleepwear,67630.9,54582.58,13048.32,0.8071,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Sleepwear,114716.99,81281.39,33435.6,0.7085,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Sleepwear,31427.46,22570.18,8857.28,0.7182,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Sleepwear,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Sleepwear,18050.93,18050.93,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Sleepwear,14876.65,14454.36,422.29,0.9716,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Sleepwear,30788.03,24947.76,5840.27,0.8103,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Sleepwear,49196.26,39241.98,9954.28,0.7977,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Sleepwear,16807.48,11653.02,5154.46,0.6933,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Sleepwear,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Sleepwear,640.16,640.16,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Sleepwear,25182.63,25182.63,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Sleepwear,37875.78,32477.99,5397.79,0.8575,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Sleepwear,8684.59,5543.23,3141.36,0.6383,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Sleepwear,4394.86,2644.25,1750.61,0.6017,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Sleepwear,14998.1,9271.65,5726.45,0.6182,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Swim,28719.27,28719.27,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Swim,19412.66,19412.66,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Swim,49675.64,45402.89,4272.75,0.914,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Swim,68237.41,53782.87,14454.54,0.7882,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Swim,43486.65,29108.38,14378.27,0.6694,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Swim,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Swim,14270.42,14270.42,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Swim,6022.01,6022.01,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Swim,23186.34,19536.59,3649.75,0.8426,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Swim,35985.95,28170.23,7815.72,0.7828,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Swim,12330.03,8197.15,4132.88,0.6648,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Swim,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Swim,0.0,0.0,0.0,,14.0,2026-04-26,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Swim,16246.38,16246.38,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Swim,26897.55,23509.71,3387.84,0.874,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Swim,5242.99,3917.77,1325.22,0.7472,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Swim,3083.82,2115.92,967.9,0.6861,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Swim,11245.75,6977.28,4268.47,0.6204,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Girls,Tops,73819.96,73819.96,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Girls,Tops,45363.14,45363.14,0.0,1.0,15.0,2026-05-17,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Girls,Tops,88340.45,79966.71,8373.74,0.9052,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Girls,Tops,148930.51,107668.16,41262.35,0.7229,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Girls,Tops,82128.37,56270.8,25857.57,0.6852,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Girls,Tops,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Girls,Tops,26542.52,26542.52,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Girls,Tops,19466.92,18083.27,1383.65,0.9289,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,STORE,Retail Stores,Girls,Tops,42408.19,37723.43,4684.76,0.8895,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Girls,Tops,74544.71,63708.84,10835.87,0.8546,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Girls,Tops,32009.93,19907.28,12102.65,0.6219,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Girls,Tops,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Girls,Tops,0.0,0.0,0.0,,15.0,2026-04-19,Past due
FY2026-08,2026,Sep,8,WHSL,Wholesale,Girls,Tops,36879.4,34571.79,2307.61,0.9374,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Girls,Tops,56258.73,52472.53,3786.2,0.9327,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Girls,Tops,14215.13,11512.26,2702.87,0.8099,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Girls,Tops,7548.7,4367.05,3181.65,0.5785,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Girls,Tops,23351.92,12080.72,11271.2,0.5173,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Women,Bottoms,10469.51,10469.51,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Women,Bottoms,6076.26,5909.35,166.91,0.9725,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Women,Bottoms,15248.56,12904.1,2344.46,0.8463,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Women,Bottoms,28427.5,22282.09,6145.41,0.7838,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Women,Bottoms,11589.14,6824.39,4764.75,0.5889,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Women,Bottoms,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Women,Bottoms,4748.37,4748.37,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Women,Bottoms,2531.25,2531.25,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Women,Bottoms,7546.15,6056.92,1489.23,0.8027,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Women,Bottoms,12202.05,9041.11,3160.94,0.741,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Women,Bottoms,4879.46,3646.56,1232.9,0.7473,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Women,Bottoms,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Women,Bottoms,247.14,247.14,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Women,Bottoms,5812.74,5812.74,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Women,Bottoms,9658.78,8532.21,1126.57,0.8834,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Women,Bottoms,1624.16,1212.64,411.52,0.7466,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Women,Bottoms,1230.89,917.62,313.27,0.7455,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Women,Bottoms,3832.03,2378.08,1453.95,0.6206,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Women,Dresses,21381.88,21381.88,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Women,Dresses,9418.56,8881.45,537.11,0.943,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Women,Dresses,23937.08,22639.27,1297.81,0.9458,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Women,Dresses,44491.05,34086.18,10404.87,0.7661,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Women,Dresses,18118.52,11135.88,6982.64,0.6146,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Women,Dresses,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Women,Dresses,5866.36,5866.36,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Women,Dresses,5368.56,5368.56,0.0,1.0,15.0,2026-05-17,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Women,Dresses,13034.55,11081.06,1953.49,0.8501,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Women,Dresses,19822.1,17770.49,2051.61,0.8965,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Women,Dresses,7215.26,4755.28,2459.98,0.6591,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Women,Dresses,0.0,0.0,0.0,,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Women,Dresses,37.32,37.32,0.0,1.0,15.0,2026-04-19,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Women,Dresses,9798.04,9229.94,568.1,0.942,15.0,2026-05-17,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Women,Dresses,15523.62,14737.48,786.14,0.9494,15.0,2026-06-21,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Women,Dresses,3326.05,2337.62,988.43,0.7028,15.0,2026-07-19,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Women,Dresses,1708.74,1166.14,542.6,0.6825,15.0,2026-08-16,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Women,Dresses,6622.06,3658.74,2963.32,0.5525,15.0,2026-09-20,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Women,Sleepwear,8211.32,8211.32,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Women,Sleepwear,6864.24,6264.86,599.38,0.9127,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Women,Sleepwear,15101.21,12323.12,2778.09,0.816,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Women,Sleepwear,22272.05,13641.81,8630.24,0.6125,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Women,Sleepwear,10402.35,7334.09,3068.26,0.705,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Women,Sleepwear,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Women,Sleepwear,4890.67,4890.67,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Women,Sleepwear,2401.69,2401.69,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Women,Sleepwear,7509.51,6608.43,901.08,0.88,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Women,Sleepwear,11351.91,7514.6,3837.31,0.662,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Women,Sleepwear,3873.34,2694.79,1178.55,0.6957,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Women,Sleepwear,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Women,Sleepwear,433.34,433.34,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Women,Sleepwear,5234.24,5234.24,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,WHSL,Wholesale,Women,Sleepwear,8840.88,7351.05,1489.83,0.8315,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Women,Sleepwear,1544.26,1180.42,363.84,0.7644,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Women,Sleepwear,1346.43,925.53,420.9,0.6874,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Women,Sleepwear,3424.34,2040.46,1383.88,0.5959,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,ECOM,Ecommerce,Women,Tops,17067.83,17067.83,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,ECOM,Ecommerce,Women,Tops,13125.03,13125.03,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,ECOM,Ecommerce,Women,Tops,29674.39,26082.56,3591.83,0.879,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,ECOM,Ecommerce,Women,Tops,50438.96,39504.48,10934.48,0.7832,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,ECOM,Ecommerce,Women,Tops,23768.6,13404.82,10363.78,0.564,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,ECOM,Ecommerce,Women,Tops,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,STORE,Retail Stores,Women,Tops,9502.07,9502.07,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,STORE,Retail Stores,Women,Tops,5677.21,5677.21,0.0,1.0,14.0,2026-05-24,Committed
FY2026-09,2026,Oct,9,STORE,Retail Stores,Women,Tops,14200.03,12062.66,2137.37,0.8495,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,STORE,Retail Stores,Women,Tops,20391.96,14166.55,6225.41,0.6947,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,STORE,Retail Stores,Women,Tops,11776.89,7377.97,4398.92,0.6265,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,STORE,Retail Stores,Women,Tops,0.0,0.0,0.0,,14.0,2026-09-27,Open
FY2026-07,2026,Aug,7,WHSL,Wholesale,Women,Tops,53.42,53.42,0.0,1.0,14.0,2026-04-26,Committed
FY2026-08,2026,Sep,8,WHSL,Wholesale,Women,Tops,11191.02,9609.42,1581.6,0.8587,14.0,2026-05-24,Past due
FY2026-09,2026,Oct,9,WHSL,Wholesale,Women,Tops,18405.86,15669.95,2735.91,0.8514,14.0,2026-06-28,Past due
FY2026-10,2026,Nov,10,WHSL,Wholesale,Women,Tops,3073.54,2410.77,662.77,0.7844,14.0,2026-07-26,Past due
FY2026-11,2026,Dec,11,WHSL,Wholesale,Women,Tops,2310.53,1383.81,926.72,0.5989,14.0,2026-08-23,Open
FY2026-12,2026,Jan,12,WHSL,Wholesale,Women,Tops,7881.49,4133.02,3748.47,0.5244,14.0,2026-09-27,Open
