month_key,fiscal_year,fiscal_month,channel_key,channel,style_key,style_name,print_name,division,department,class_name,season,lifecycle,units_sold,sales_dollars,aur,on_hand_units,on_order_units,sell_through_pct,weeks_of_supply
FY2026-01,2026,Feb,ECOM,Ecommerce,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,306,16589.74,54.21,538,142,0.3626,7.0
FY2026-01,2026,Feb,STORE,Retail Stores,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,72,4046.16,56.2,68,61,0.5143,3.8
FY2026-01,2026,Feb,WHSL,Wholesale,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,283,12223.56,43.19,264,91,0.5174,3.7
FY2026-02,2026,Mar,ECOM,Ecommerce,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,309,18108.74,58.6,420,245,0.4239,6.8
FY2026-02,2026,Mar,STORE,Retail Stores,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,62,3238.74,52.24,120,95,0.3407,9.7
FY2026-02,2026,Mar,WHSL,Wholesale,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,262,11316.51,43.19,555,29,0.3207,10.6
FY2026-03,2026,Apr,ECOM,Ecommerce,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,349,18206.19,52.17,663,463,0.3449,7.6
FY2026-03,2026,Apr,STORE,Retail Stores,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,126,7240.49,57.46,248,7,0.3369,7.9
FY2026-03,2026,Apr,WHSL,Wholesale,ST-0031,Tulip Garden One-Piece,Cherry Blossom,Girls,Swim,One-Piece,Spring,Carryover,111,4794.4,43.19,181,67,0.3801,6.5
FY2025-04,2025,May,ECOM,Ecommerce,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,314,18455.93,58.78,520,62,0.3765,6.6
FY2025-04,2025,May,STORE,Retail Stores,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,232,15382.85,66.31,181,150,0.5617,3.1
FY2025-04,2025,May,WHSL,Wholesale,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,225,11014.38,48.95,207,128,0.5208,3.7
FY2025-05,2025,Jun,ECOM,Ecommerce,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,222,13353.52,60.15,165,98,0.5736,3.7
FY2025-05,2025,Jun,STORE,Retail Stores,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,133,8824.05,66.35,235,206,0.3614,8.8
FY2025-05,2025,Jun,WHSL,Wholesale,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,66,3230.88,48.95,67,48,0.4962,5.1
FY2025-06,2025,Jul,ECOM,Ecommerce,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,371,25011.2,67.42,365,280,0.5041,3.9
FY2025-06,2025,Jul,STORE,Retail Stores,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,234,14392.64,61.51,448,237,0.3431,7.7
FY2025-06,2025,Jul,WHSL,Wholesale,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,328,16056.52,48.95,242,75,0.5754,3.0
FY2026-04,2026,May,ECOM,Ecommerce,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,41,2532.45,61.77,66,17,0.3832,6.4
FY2026-04,2026,May,STORE,Retail Stores,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,241,15693.59,65.12,545,362,0.3066,9.0
FY2026-04,2026,May,WHSL,Wholesale,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,9,440.58,48.95,12,0,0.4286,5.3
FY2026-05,2026,Jun,ECOM,Ecommerce,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,247,14854.38,60.14,426,126,0.367,8.6
FY2026-05,2026,Jun,STORE,Retail Stores,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,157,9574.63,60.98,117,73,0.573,3.7
FY2026-05,2026,Jun,WHSL,Wholesale,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,151,7391.87,48.95,126,27,0.5451,4.2
FY2026-06,2026,Jul,ECOM,Ecommerce,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,0,0.0,64.55,0,0,0.0,0.0
FY2026-06,2026,Jul,STORE,Retail Stores,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,243,14966.67,61.59,472,213,0.3399,7.8
FY2026-06,2026,Jul,WHSL,Wholesale,ST-0032,Nantucket Stripe One-Piece,Seashell,Girls,Swim,One-Piece,Summer,New,480,23497.34,48.95,727,129,0.3977,6.1
FY2025-01,2025,Feb,ECOM,Ecommerce,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,186,12306.89,66.17,390,240,0.3229,8.4
FY2025-01,2025,Feb,STORE,Retail Stores,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,110,7258.04,65.98,229,156,0.3245,8.3
FY2025-01,2025,Feb,WHSL,Wholesale,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,154,7538.73,48.95,338,286,0.313,8.8
FY2025-02,2025,Mar,ECOM,Ecommerce,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,379,23541.78,62.12,712,231,0.3474,9.4
FY2025-02,2025,Mar,STORE,Retail Stores,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,184,11488.62,62.44,198,167,0.4817,5.4
FY2025-02,2025,Mar,WHSL,Wholesale,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,218,10671.71,48.95,469,339,0.3173,10.8
FY2025-03,2025,Apr,ECOM,Ecommerce,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,130,8312.29,63.94,212,21,0.3801,6.5
FY2025-03,2025,Apr,STORE,Retail Stores,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,195,12682.62,65.04,187,110,0.5105,3.8
FY2025-03,2025,Apr,WHSL,Wholesale,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,171,8370.93,48.95,261,105,0.3958,6.1
FY2026-01,2026,Feb,ECOM,Ecommerce,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,384,22574.57,58.79,536,102,0.4174,5.6
FY2026-01,2026,Feb,STORE,Retail Stores,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,92,5556.44,60.4,178,38,0.3407,7.7
FY2026-01,2026,Feb,WHSL,Wholesale,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,280,13706.78,48.95,621,252,0.3108,8.9
FY2026-02,2026,Mar,ECOM,Ecommerce,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,499,31948.53,64.03,1156,230,0.3015,11.6
FY2026-02,2026,Mar,STORE,Retail Stores,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,221,13292.81,60.15,159,122,0.5816,3.6
FY2026-02,2026,Mar,WHSL,Wholesale,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,142,6951.3,48.95,204,11,0.4104,7.2
FY2026-03,2026,Apr,ECOM,Ecommerce,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,188,12168.54,64.73,234,69,0.4455,5.0
FY2026-03,2026,Apr,STORE,Retail Stores,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,139,8380.76,60.29,148,32,0.4843,4.3
FY2026-03,2026,Apr,WHSL,Wholesale,ST-0033,Ditsy Rose Rash Guard Set,Garden Trellis,Girls,Swim,Rash Guard Set,Spring,New,1,48.95,48.95,2,1,0.3333,8.0
FY2025-04,2025,May,ECOM,Ecommerce,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,399,25149.43,63.03,428,366,0.4825,4.3
FY2025-04,2025,May,STORE,Retail Stores,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,299,18106.56,60.56,293,177,0.5051,3.9
FY2025-04,2025,May,WHSL,Wholesale,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,309,14236.5,46.07,599,354,0.3403,7.8
FY2025-05,2025,Jun,ECOM,Ecommerce,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,378,20900.68,55.29,561,277,0.4026,7.4
FY2025-05,2025,Jun,STORE,Retail Stores,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,156,9456.62,60.62,250,70,0.3842,8.0
FY2025-05,2025,Jun,WHSL,Wholesale,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,415,19120.21,46.07,515,160,0.4462,6.2
FY2025-06,2025,Jul,ECOM,Ecommerce,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,235,13632.41,58.01,417,133,0.3604,7.1
FY2025-06,2025,Jul,STORE,Retail Stores,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,227,14187.17,62.5,485,417,0.3188,8.5
FY2025-06,2025,Jul,WHSL,Wholesale,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,304,14006.13,46.07,581,213,0.3435,7.6
FY2026-04,2026,May,ECOM,Ecommerce,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,65,3750.96,57.71,46,26,0.5856,2.8
FY2026-04,2026,May,STORE,Retail Stores,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,155,9516.39,61.4,299,126,0.3414,7.7
FY2026-04,2026,May,WHSL,Wholesale,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,192,8845.98,46.07,367,309,0.3435,7.6
FY2026-05,2026,Jun,ECOM,Ecommerce,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,274,17183.53,62.71,511,66,0.349,9.3
FY2026-05,2026,Jun,STORE,Retail Stores,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,116,6483.55,55.89,240,177,0.3258,10.3
FY2026-05,2026,Jun,WHSL,Wholesale,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,335,15434.39,46.07,642,354,0.3429,9.6
FY2026-06,2026,Jul,ECOM,Ecommerce,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,498,30116.7,60.48,416,94,0.5449,3.3
FY2026-06,2026,Jul,STORE,Retail Stores,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,54,3061.28,56.69,53,34,0.5047,3.9
FY2026-06,2026,Jul,WHSL,Wholesale,ST-0034,Strawberry Fields Rash Guard Set,Strawberry Fields,Girls,Swim,Rash Guard Set,Summer,New,422,19442.72,46.07,342,175,0.5524,3.2
FY2025-07,2025,Aug,ECOM,Ecommerce,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,441,19733.55,44.75,960,540,0.3148,8.7
FY2025-07,2025,Aug,STORE,Retail Stores,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,145,6708.01,46.26,256,212,0.3616,7.1
FY2025-07,2025,Aug,WHSL,Wholesale,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,196,6772.35,34.55,142,46,0.5799,2.9
FY2025-08,2025,Sep,ECOM,Ecommerce,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,491,21839.59,44.48,780,411,0.3863,7.9
FY2025-08,2025,Sep,STORE,Retail Stores,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,141,6295.51,44.65,104,37,0.5755,3.7
FY2025-08,2025,Sep,WHSL,Wholesale,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,275,9502.02,34.55,315,247,0.4661,5.7
FY2025-09,2025,Oct,ECOM,Ecommerce,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,290,13232.44,45.63,304,118,0.4882,4.2
FY2025-09,2025,Oct,STORE,Retail Stores,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,180,8345.56,46.36,268,38,0.4018,6.0
FY2025-09,2025,Oct,WHSL,Wholesale,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,109,3766.26,34.55,167,68,0.3949,6.1
FY2026-07,2026,Aug,ECOM,Ecommerce,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,302,14417.23,47.74,613,197,0.3301,8.1
FY2026-07,2026,Aug,STORE,Retail Stores,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,287,13071.36,45.54,673,40,0.299,9.4
FY2026-07,2026,Aug,WHSL,Wholesale,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,299,10331.29,34.55,551,2,0.3518,7.4
FY2026-08,2026,Sep,ECOM,Ecommerce,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,100,4643.12,46.43,214,36,0.3185,10.7
FY2026-08,2026,Sep,STORE,Retail Stores,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,319,14247.47,44.66,450,321,0.4148,7.1
FY2026-08,2026,Sep,WHSL,Wholesale,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,277,9571.13,34.55,647,348,0.2998,11.7
FY2026-09,2026,Oct,ECOM,Ecommerce,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,315,13568.74,43.08,299,239,0.513,3.8
FY2026-09,2026,Oct,STORE,Retail Stores,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,105,4733.39,45.08,99,5,0.5147,3.8
FY2026-09,2026,Oct,WHSL,Wholesale,ST-0035,Acorn Toile PJ Set,Pomegranate,Girls,Sleepwear,PJ Set,Fall,New,372,12853.64,34.55,720,408,0.3407,7.7
FY2025-09,2025,Oct,ECOM,Ecommerce,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,457,19252.4,42.13,618,139,0.4251,5.4
FY2025-09,2025,Oct,STORE,Retail Stores,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,118,4814.43,40.8,240,114,0.3296,8.1
FY2025-09,2025,Oct,WHSL,Wholesale,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,144,4768.24,33.11,178,68,0.4472,4.9
FY2025-10,2025,Nov,ECOM,Ecommerce,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,362,14590.91,40.31,728,8,0.3321,8.0
FY2025-10,2025,Nov,STORE,Retail Stores,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,2,81.41,40.71,4,2,0.3333,8.0
FY2025-10,2025,Nov,WHSL,Wholesale,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,272,9006.68,33.11,523,375,0.3421,7.7
FY2025-11,2025,Dec,ECOM,Ecommerce,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,253,11248.07,44.46,238,124,0.5153,4.7
FY2025-11,2025,Dec,STORE,Retail Stores,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,15,663.85,44.26,32,9,0.3191,10.7
FY2025-11,2025,Dec,WHSL,Wholesale,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,165,5463.61,33.11,387,251,0.2989,11.7
FY2026-09,2026,Oct,ECOM,Ecommerce,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,231,9260.7,40.09,466,163,0.3314,8.1
FY2026-09,2026,Oct,STORE,Retail Stores,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,299,12554.92,41.99,630,419,0.3219,8.4
FY2026-09,2026,Oct,WHSL,Wholesale,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,197,6523.22,33.11,459,27,0.3003,9.3
FY2026-10,2026,Nov,ECOM,Ecommerce,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,436,17448.12,40.02,414,267,0.5129,3.8
FY2026-10,2026,Nov,STORE,Retail Stores,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,311,12448.86,40.03,402,117,0.4362,5.2
FY2026-10,2026,Nov,WHSL,Wholesale,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,236,7814.62,33.11,383,143,0.3813,6.5
FY2026-11,2026,Dec,ECOM,Ecommerce,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,175,7558.31,43.19,169,41,0.5087,4.8
FY2026-11,2026,Dec,STORE,Retail Stores,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,143,6046.72,42.28,155,118,0.4799,5.4
FY2026-11,2026,Dec,WHSL,Wholesale,ST-0036,Snowdrop PJ Set,Candy Cane Stripe,Girls,Sleepwear,PJ Set,Holiday,New,422,13973.6,33.11,423,147,0.4994,5.0
FY2025-01,2025,Feb,ECOM,Ecommerce,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,148,6476.94,43.76,134,1,0.5248,3.6
FY2025-01,2025,Feb,STORE,Retail Stores,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,230,10643.37,46.28,520,276,0.3067,9.0
FY2025-01,2025,Feb,WHSL,Wholesale,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,154,5321.13,34.55,352,149,0.3043,9.1
FY2025-02,2025,Mar,ECOM,Ecommerce,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,633,26246.98,41.46,767,10,0.4521,6.1
FY2025-02,2025,Mar,STORE,Retail Stores,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,317,14535.52,45.85,687,614,0.3157,10.8
FY2025-02,2025,Mar,WHSL,Wholesale,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,279,9640.23,34.55,608,373,0.3145,10.9
FY2025-03,2025,Apr,ECOM,Ecommerce,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,88,3876.06,44.05,127,38,0.4093,5.8
FY2025-03,2025,Apr,STORE,Retail Stores,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,117,4891.12,41.8,169,58,0.4091,5.8
FY2025-03,2025,Apr,WHSL,Wholesale,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,243,8396.33,34.55,392,254,0.3827,6.5
FY2026-01,2026,Feb,ECOM,Ecommerce,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,257,11228.94,43.69,237,88,0.5202,3.7
FY2026-01,2026,Feb,STORE,Retail Stores,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,279,12236.56,43.86,660,193,0.2971,9.5
FY2026-01,2026,Feb,WHSL,Wholesale,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,270,9329.26,34.55,557,210,0.3265,8.3
FY2026-02,2026,Mar,ECOM,Ecommerce,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,179,8282.87,46.27,265,120,0.4032,7.4
FY2026-02,2026,Mar,STORE,Retail Stores,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,199,9322.8,46.85,439,306,0.3119,11.0
FY2026-02,2026,Mar,WHSL,Wholesale,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,276,9536.57,34.55,411,312,0.4017,7.4
FY2026-03,2026,Apr,ECOM,Ecommerce,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,362,15175.27,41.92,686,62,0.3454,7.6
FY2026-03,2026,Apr,STORE,Retail Stores,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,152,6774.26,44.57,209,118,0.4211,5.5
FY2026-03,2026,Apr,WHSL,Wholesale,ST-0037,Garden Trellis Nightgown,Cherry Blossom,Girls,Sleepwear,Nightgown,Spring,New,165,5701.21,34.55,280,68,0.3708,6.8
FY2025-04,2025,May,ECOM,Ecommerce,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,137,6306.45,46.03,233,30,0.3703,6.8
FY2025-04,2025,May,STORE,Retail Stores,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,151,7302.34,48.36,210,187,0.4183,5.6
FY2025-04,2025,May,WHSL,Wholesale,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,308,11529.3,37.43,706,514,0.3037,9.2
FY2025-05,2025,Jun,ECOM,Ecommerce,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,425,19195.82,45.17,743,362,0.3639,8.7
FY2025-05,2025,Jun,STORE,Retail Stores,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,90,4036.99,44.86,209,112,0.301,11.6
FY2025-05,2025,Jun,WHSL,Wholesale,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,374,13999.87,37.43,483,63,0.4364,6.5
FY2025-06,2025,Jul,ECOM,Ecommerce,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,519,25011.36,48.19,678,138,0.4336,5.2
FY2025-06,2025,Jul,STORE,Retail Stores,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,276,14015.57,50.78,410,222,0.4023,5.9
FY2025-06,2025,Jul,WHSL,Wholesale,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,332,12427.69,37.43,403,83,0.4517,4.9
FY2026-04,2026,May,ECOM,Ecommerce,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,253,12563.84,49.66,367,308,0.4081,5.8
FY2026-04,2026,May,STORE,Retail Stores,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,157,7907.92,50.37,156,135,0.5016,4.0
FY2026-04,2026,May,WHSL,Wholesale,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,335,12539.99,37.43,741,568,0.3113,8.8
FY2026-05,2026,Jun,ECOM,Ecommerce,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,132,6239.8,47.27,301,265,0.3048,11.4
FY2026-05,2026,Jun,STORE,Retail Stores,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,158,7756.98,49.09,243,1,0.394,7.7
FY2026-05,2026,Jun,WHSL,Wholesale,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,305,11417.0,37.43,463,263,0.3971,7.6
FY2026-06,2026,Jul,ECOM,Ecommerce,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,208,9314.95,44.78,351,305,0.3721,6.8
FY2026-06,2026,Jul,STORE,Retail Stores,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,192,9455.42,49.25,138,96,0.5818,2.9
FY2026-06,2026,Jul,WHSL,Wholesale,ST-0038,Palm Frond Nightgown,Palm Frond,Girls,Sleepwear,Nightgown,Summer,New,17,636.36,37.43,33,28,0.34,7.8
FY2025-07,2025,Aug,ECOM,Ecommerce,ST-0039,Wildflower Nightgown,Pomegranate,Girls,Sleepwear,Nightgown,Fall,Carryover,258,14144.75,54.82,239,185,0.5191,3.7
FY2025-07,2025,Aug,STORE,Retail Stores,ST-0039,Wildflower Nightgown,Pomegranate,Girls,Sleepwear,Nightgown,Fall,Carryover,142,7428.02,52.31,129,82,0.524,3.6
FY2025-07,2025,Aug,WHSL,Wholesale,ST-0039,Wildflower Nightgown,Pomegranate,Girls,Sleepwear,Nightgown,Fall,Carryover,362,15114.51,41.75,535,91,0.4036,5.9
FY2025-08,2025,Sep,ECOM,Ecommerce,ST-0039,Wildflower Nightgown,Pomegranate,Girls,Sleepwear,Nightgown,Fall,Carryover,189,9533.22,50.44,301,262,0.3857,8.0
