month_key,fiscal_year,fiscal_month,fiscal_month_no,fiscal_quarter,channel_key,channel,division,department,actual_sales_dollars,actual_sales_units,actual_aur,actual_markdown_dollars,actual_shrink_dollars,actual_gross_margin_dollars,actual_gross_margin_pct,actual_bom_retail,actual_eom_retail,actual_receipts_retail,actual_receipts_cost
FY2025-11,2025,Dec,11,Q4,ECOM,Ecommerce,Boys,Sets,56612.76,886.0,63.9,7208.99,165.36,28063.3,0.4957,129339.52,100071.02,34718.61,11560.27
FY2025-12,2025,Jan,12,Q4,ECOM,Ecommerce,Boys,Sets,20737.19,340.0,60.99,2284.16,93.07,10908.65,0.526,108621.15,85506.73,0.0,0.0
FY2026-01,2026,Feb,1,Q1,ECOM,Ecommerce,Boys,Sets,26785.16,404.0,66.3,3058.84,122.43,13938.96,0.5204,85857.44,76275.72,20384.71,6802.1
FY2026-02,2026,Mar,2,Q1,ECOM,Ecommerce,Boys,Sets,37826.61,595.0,63.57,5157.19,134.5,18870.9,0.4989,75920.26,77546.52,44744.56,19066.5
FY2026-03,2026,Apr,3,Q1,ECOM,Ecommerce,Boys,Sets,40528.29,651.0,62.26,6780.99,178.49,19301.38,0.4762,85843.8,122118.38,83762.35,26507.49
FY2026-04,2026,May,4,Q2,ECOM,Ecommerce,Boys,Sets,38656.94,617.0,62.65,5805.89,205.29,18922.15,0.4895,124603.19,109099.08,29164.01,11109.05
FY2026-05,2026,Jun,5,Q2,ECOM,Ecommerce,Boys,Sets,32675.29,540.0,60.51,5198.55,144.67,15981.79,0.4891,110748.22,79488.55,6758.84,2502.12
FY2026-06,2026,Jul,6,Q2,ECOM,Ecommerce,Boys,Sets,28385.33,463.0,61.31,4662.57,122.75,13703.43,0.4828,78246.12,87166.41,42090.94,15388.6
FY2024-01,2024,Feb,1,Q1,STORE,Retail Stores,Boys,Sets,8124.66,132.0,61.55,1165.8,67.9,4165.35,0.5127,26443.57,28056.78,10971.57,3614.52
FY2024-02,2024,Mar,2,Q1,STORE,Retail Stores,Boys,Sets,11587.95,176.0,65.84,1920.48,145.91,5668.53,0.4892,26240.35,30611.12,18025.11,6253.18
FY2024-03,2024,Apr,3,Q1,STORE,Retail Stores,Boys,Sets,14103.09,219.0,64.4,1392.62,122.68,7639.66,0.5417,29266.73,39217.33,25568.99,8826.79
FY2024-04,2024,May,4,Q2,STORE,Retail Stores,Boys,Sets,12137.48,203.0,59.79,1350.24,157.98,6583.53,0.5424,39085.12,41621.64,16182.22,5746.92
FY2024-05,2024,Jun,5,Q2,STORE,Retail Stores,Boys,Sets,12690.09,198.0,64.09,1183.78,101.12,6923.74,0.5456,40155.14,30443.87,4263.72,1537.6
FY2024-06,2024,Jul,6,Q2,STORE,Retail Stores,Boys,Sets,10740.43,174.0,61.73,1314.05,104.38,5499.84,0.5121,30498.7,28136.51,9796.67,3172.61
FY2024-07,2024,Aug,7,Q3,STORE,Retail Stores,Boys,Sets,11096.71,161.0,68.92,1216.67,104.93,5878.62,0.5298,28562.2,34418.45,18274.56,5932.35
FY2024-08,2024,Sep,8,Q3,STORE,Retail Stores,Boys,Sets,12840.85,215.0,59.72,1595.86,95.66,6512.66,0.5072,33212.52,27655.54,8975.39,2635.36
FY2024-09,2024,Oct,9,Q3,STORE,Retail Stores,Boys,Sets,12330.66,194.0,63.56,1461.65,134.74,6422.82,0.5209,28085.92,34466.2,20307.33,7206.43
FY2024-10,2024,Nov,10,Q4,STORE,Retail Stores,Boys,Sets,17628.75,285.0,61.86,1752.13,187.93,9603.23,0.5447,35496.18,49274.33,33346.96,13542.43
FY2024-11,2024,Dec,11,Q4,STORE,Retail Stores,Boys,Sets,18808.93,285.0,66.0,1710.64,191.83,10348.64,0.5502,56056.88,44046.51,8701.03,3330.62
FY2024-12,2024,Jan,12,Q4,STORE,Retail Stores,Boys,Sets,7496.68,118.0,63.53,863.45,75.3,3987.06,0.5318,43721.74,35286.31,0.0,0.0
FY2025-01,2025,Feb,1,Q1,STORE,Retail Stores,Boys,Sets,10122.72,165.0,61.35,1182.64,100.92,5331.51,0.5267,34805.81,29988.52,6588.99,2471.26
FY2025-02,2025,Mar,2,Q1,STORE,Retail Stores,Boys,Sets,13382.4,213.0,62.83,1728.46,137.07,6929.7,0.5178,30203.68,32285.78,17330.03,6264.73
FY2025-03,2025,Apr,3,Q1,STORE,Retail Stores,Boys,Sets,16225.79,261.0,62.17,2150.15,138.42,8296.23,0.5113,31375.61,43418.72,30557.47,14019.58
FY2025-04,2025,May,4,Q2,STORE,Retail Stores,Boys,Sets,17111.94,278.0,61.55,1552.26,155.43,9248.28,0.5405,50757.1,47956.72,16019.25,4940.43
FY2025-05,2025,Jun,5,Q2,STORE,Retail Stores,Boys,Sets,15046.11,235.0,64.03,1647.4,122.03,7792.7,0.5179,46896.06,30080.52,0.0,0.0
FY2025-06,2025,Jul,6,Q2,STORE,Retail Stores,Boys,Sets,12558.79,191.0,65.75,1155.61,98.76,6807.74,0.5421,32072.18,30994.9,12735.88,4778.16
FY2025-07,2025,Aug,7,Q3,STORE,Retail Stores,Boys,Sets,12236.96,193.0,63.4,1620.52,120.25,6231.54,0.5092,32366.86,32352.6,13963.47,5636.46
FY2025-08,2025,Sep,8,Q3,STORE,Retail Stores,Boys,Sets,12672.18,201.0,63.05,1721.74,146.64,6473.97,0.5109,33733.0,32419.19,13226.75,4894.41
FY2025-09,2025,Oct,9,Q3,STORE,Retail Stores,Boys,Sets,12958.73,192.0,67.49,1917.01,134.76,6505.19,0.502,32143.53,40188.24,23055.21,8131.49
FY2025-10,2025,Nov,10,Q4,STORE,Retail Stores,Boys,Sets,19622.82,305.0,64.34,2409.73,185.51,10257.79,0.5227,38653.09,59239.72,42804.69,15741.5
FY2025-11,2025,Dec,11,Q4,STORE,Retail Stores,Boys,Sets,22089.21,360.0,61.36,2470.27,196.36,11669.5,0.5283,60721.3,50012.04,14046.58,5043.12
FY2025-12,2025,Jan,12,Q4,STORE,Retail Stores,Boys,Sets,8420.19,139.0,60.58,1192.71,87.39,4243.22,0.5039,50686.42,40986.13,0.0,0.0
FY2026-01,2026,Feb,1,Q1,STORE,Retail Stores,Boys,Sets,11710.57,184.0,63.64,1454.24,106.89,6040.8,0.5158,40783.61,33836.44,6324.53,2340.37
FY2026-02,2026,Mar,2,Q1,STORE,Retail Stores,Boys,Sets,17969.89,282.0,63.72,2413.91,166.11,8963.99,0.4988,34419.87,36239.35,22369.39,8804.74
FY2026-03,2026,Apr,3,Q1,STORE,Retail Stores,Boys,Sets,19348.45,310.0,62.41,2082.29,199.59,10300.97,0.5324,38151.63,56627.55,40106.25,13903.85
FY2026-04,2026,May,4,Q2,STORE,Retail Stores,Boys,Sets,18895.23,289.0,65.38,1813.17,190.79,10118.44,0.5355,56958.62,50997.57,14938.14,4594.16
FY2026-05,2026,Jun,5,Q2,STORE,Retail Stores,Boys,Sets,17903.05,283.0,63.26,1665.49,173.96,9588.29,0.5356,52440.92,34717.93,2019.51,720.36
FY2026-06,2026,Jul,6,Q2,STORE,Retail Stores,Boys,Sets,13869.37,221.0,62.76,1141.73,120.49,7697.34,0.555,36870.23,37113.23,15374.59,5342.02
FY2024-01,2024,Feb,1,Q1,WHSL,Wholesale,Boys,Sets,14855.54,297.0,50.02,362.18,13.85,6788.61,0.457,15021.84,15429.8,15639.53,9942.59
FY2024-02,2024,Mar,2,Q1,WHSL,Wholesale,Boys,Sets,13004.78,268.0,48.53,315.26,11.91,5929.4,0.4559,15404.85,11016.92,8944.02,5081.7
FY2024-03,2024,Apr,3,Q1,WHSL,Wholesale,Boys,Sets,6512.65,140.0,46.52,152.97,6.01,2968.91,0.4559,11120.4,5615.39,1166.62,631.46
FY2024-04,2024,May,4,Q2,WHSL,Wholesale,Boys,Sets,5725.48,122.0,46.93,137.13,5.82,2612.25,0.4562,5986.67,5746.07,5627.83,3048.28
FY2024-05,2024,Jun,5,Q2,WHSL,Wholesale,Boys,Sets,14274.99,276.0,51.72,235.99,15.15,6603.23,0.4626,5849.86,9656.81,18333.08,9236.77
FY2024-06,2024,Jul,6,Q2,WHSL,Wholesale,Boys,Sets,13946.33,288.0,48.42,335.19,14.52,6369.56,0.4567,10977.78,14601.82,17920.08,9704.66
FY2024-07,2024,Aug,7,Q3,WHSL,Wholesale,Boys,Sets,7630.01,158.0,48.29,147.99,7.66,3504.53,0.4593,14561.37,6851.0,75.29,45.21
FY2024-08,2024,Sep,8,Q3,WHSL,Wholesale,Boys,Sets,11637.96,231.0,50.38,212.43,12.7,5355.76,0.4602,7399.51,6224.67,10688.25,6407.6
FY2024-09,2024,Oct,9,Q3,WHSL,Wholesale,Boys,Sets,14662.86,306.0,47.92,242.18,13.55,6783.45,0.4626,8575.55,15341.2,21684.24,10973.08
FY2024-10,2024,Nov,10,Q4,WHSL,Wholesale,Boys,Sets,8903.64,181.0,49.19,155.5,7.79,4113.67,0.462,14675.45,8709.22,3100.7,1604.22
FY2024-11,2024,Dec,11,Q4,WHSL,Wholesale,Boys,Sets,6873.39,146.0,47.08,130.06,6.98,3150.77,0.4584,8941.52,3690.75,1759.66,1112.97
FY2024-12,2024,Jan,12,Q4,WHSL,Wholesale,Boys,Sets,6344.71,130.0,48.81,146.6,7.29,2897.14,0.4566,4740.63,6099.55,7857.52,3667.77
FY2025-01,2025,Feb,1,Q1,WHSL,Wholesale,Boys,Sets,16227.19,338.0,48.01,330.82,17.63,7492.7,0.4617,6503.53,16938.05,27010.16,15835.5
FY2025-02,2025,Mar,2,Q1,WHSL,Wholesale,Boys,Sets,13227.86,265.0,49.92,276.07,18.58,6117.08,0.4624,18440.58,13031.05,8112.98,5029.76
FY2025-03,2025,Apr,3,Q1,WHSL,Wholesale,Boys,Sets,7368.87,148.0,49.79,130.79,8.28,3402.25,0.4617,12045.58,6773.38,2235.74,1210.28
FY2025-04,2025,May,4,Q2,WHSL,Wholesale,Boys,Sets,5477.83,122.0,44.9,111.7,6.64,2538.55,0.4634,7088.88,8038.5,6545.79,3207.88
FY2025-05,2025,Jun,5,Q2,WHSL,Wholesale,Boys,Sets,13219.42,260.0,50.84,339.76,14.01,6047.06,0.4574,6804.97,14299.75,21067.97,10545.74
FY2025-06,2025,Jul,6,Q2,WHSL,Wholesale,Boys,Sets,16017.44,326.0,49.13,386.65,17.43,7309.6,0.4564,12245.12,15900.58,20076.98,11398.95
FY2025-07,2025,Aug,7,Q3,WHSL,Wholesale,Boys,Sets,7781.1,160.0,48.63,166.01,8.29,3578.76,0.4599,16142.78,8355.32,167.94,87.28
FY2025-08,2025,Sep,8,Q3,WHSL,Wholesale,Boys,Sets,10542.76,218.0,48.36,262.74,14.03,4832.47,0.4584,7846.58,10872.67,13845.62,6871.66
FY2025-09,2025,Oct,9,Q3,WHSL,Wholesale,Boys,Sets,16302.44,333.0,48.96,371.25,16.2,7444.85,0.4567,10337.86,14928.92,21280.95,12126.84
FY2025-10,2025,Nov,10,Q4,WHSL,Wholesale,Boys,Sets,9756.6,204.0,47.83,200.89,10.8,4484.19,0.4596,16212.12,9790.57,3546.74,1792.86
FY2025-11,2025,Dec,11,Q4,WHSL,Wholesale,Boys,Sets,6772.36,142.0,47.69,157.89,9.54,3098.78,0.4576,9531.36,6074.02,3482.45,1936.7
FY2025-12,2025,Jan,12,Q4,WHSL,Wholesale,Boys,Sets,6659.94,136.0,48.97,159.21,8.25,3050.96,0.4581,5675.57,6923.43,8075.26,3818.48
FY2026-01,2026,Feb,1,Q1,WHSL,Wholesale,Boys,Sets,18008.61,372.0,48.41,493.85,23.11,8192.67,0.4549,6944.98,23495.56,35076.15,18256.33
FY2026-02,2026,Mar,2,Q1,WHSL,Wholesale,Boys,Sets,16006.46,342.0,46.8,320.41,18.22,7388.11,0.4616,20750.41,16040.85,11635.53,5269.92
FY2026-03,2026,Apr,3,Q1,WHSL,Wholesale,Boys,Sets,8207.47,179.0,45.85,180.66,9.0,3758.09,0.4579,13740.7,7754.94,2411.37,1126.33
FY2026-04,2026,May,4,Q2,WHSL,Wholesale,Boys,Sets,7373.89,147.0,50.16,163.41,8.73,3376.67,0.4579,7902.37,6948.13,6591.79,3919.84
FY2026-05,2026,Jun,5,Q2,WHSL,Wholesale,Boys,Sets,17585.79,375.0,46.9,357.84,16.99,8082.73,0.4596,7169.54,14932.96,25724.04,11398.66
FY2026-06,2026,Jul,6,Q2,WHSL,Wholesale,Boys,Sets,17109.24,358.0,47.79,457.9,19.73,7785.33,0.455,13525.64,20417.6,24478.83,14797.24
FY2024-01,2024,Feb,1,Q1,ECOM,Ecommerce,Boys,Sleepwear,18219.54,347.0,52.51,2725.98,98.42,9097.53,0.4993,56753.09,55809.62,20100.47,7819.46
FY2024-02,2024,Mar,2,Q1,ECOM,Ecommerce,Boys,Sleepwear,26404.58,490.0,53.89,4008.48,117.31,13157.95,0.4983,54178.7,63574.05,39925.72,15186.19
FY2024-03,2024,Apr,3,Q1,ECOM,Ecommerce,Boys,Sleepwear,31408.69,623.0,50.42,5455.99,106.27,14732.78,0.4691,62747.29,100837.27,75060.93,25697.69
FY2024-04,2024,May,4,Q2,ECOM,Ecommerce,Boys,Sleepwear,30923.93,621.0,49.8,5339.79,120.67,14331.15,0.4634,95277.56,82726.68,23833.51,8906.51
FY2024-05,2024,Jun,5,Q2,ECOM,Ecommerce,Boys,Sleepwear,26118.43,483.0,54.08,4040.83,119.4,12842.84,0.4917,85366.71,60020.63,4932.58,1607.32
FY2024-06,2024,Jul,6,Q2,ECOM,Ecommerce,Boys,Sleepwear,27371.82,516.0,53.05,3702.47,93.89,13263.42,0.4846,58928.81,66353.04,38592.41,15609.11
FY2024-07,2024,Aug,7,Q3,ECOM,Ecommerce,Boys,Sleepwear,25237.82,481.0,52.47,2787.13,120.04,13179.3,0.5222,71948.33,70005.14,26201.8,8030.18
FY2024-08,2024,Sep,8,Q3,ECOM,Ecommerce,Boys,Sleepwear,26768.17,477.0,56.12,4229.78,100.46,12797.09,0.4781,70783.46,58437.31,18752.26,7044.32
FY2024-09,2024,Oct,9,Q3,ECOM,Ecommerce,Boys,Sleepwear,28586.45,531.0,53.84,2718.28,101.44,15243.05,0.5332,61955.31,72644.38,42095.24,15558.17
FY2024-10,2024,Nov,10,Q4,ECOM,Ecommerce,Boys,Sleepwear,42638.9,801.0,53.23,5639.23,174.52,21217.32,0.4976,73365.96,116573.76,91660.45,29750.87
FY2024-11,2024,Dec,11,Q4,ECOM,Ecommerce,Boys,Sleepwear,38305.0,742.0,51.62,6758.7,161.67,18195.63,0.475,120090.37,92319.59,17454.59,5323.16
FY2024-12,2024,Jan,12,Q4,ECOM,Ecommerce,Boys,Sleepwear,17911.18,357.0,50.17,2977.03,75.79,8464.63,0.4726,90426.67,69462.67,0.0,0.0
FY2025-01,2025,Feb,1,Q1,ECOM,Ecommerce,Boys,Sleepwear,23626.82,420.0,56.25,4587.92,104.1,10481.51,0.4436,70550.26,68265.37,26033.95,9911.03
FY2025-02,2025,Mar,2,Q1,ECOM,Ecommerce,Boys,Sleepwear,28390.99,540.0,52.58,6566.99,152.36,12375.01,0.4359,70052.54,71959.75,37017.55,14328.86
FY2025-03,2025,Apr,3,Q1,ECOM,Ecommerce,Boys,Sleepwear,33963.56,632.0,53.74,3788.13,129.67,18394.79,0.5416,75248.2,120595.76,83228.92,28346.86
FY2025-04,2025,May,4,Q2,ECOM,Ecommerce,Boys,Sleepwear,33285.45,643.0,51.77,5404.7,134.2,15783.97,0.4742,113931.72,90833.87,15726.5,4770.59
FY2025-05,2025,Jun,5,Q2,ECOM,Ecommerce,Boys,Sleepwear,27066.49,523.0,51.75,5933.23,120.15,11914.7,0.4402,91765.25,73767.15,15121.77,5820.97
FY2025-06,2025,Jul,6,Q2,ECOM,Ecommerce,Boys,Sleepwear,28598.91,525.0,54.47,3201.28,84.68,14832.24,0.5186,72532.21,76511.67,35864.33,11168.76
FY2025-07,2025,Aug,7,Q3,ECOM,Ecommerce,Boys,Sleepwear,27350.97,532.0,51.41,3563.5,128.69,13904.04,0.5084,79408.51,79772.51,31407.16,12130.76
FY2025-08,2025,Sep,8,Q3,ECOM,Ecommerce,Boys,Sleepwear,27222.35,518.0,52.55,3962.41,146.24,13773.98,0.506,82269.27,67595.18,16656.91,6913.48
FY2025-09,2025,Oct,9,Q3,ECOM,Ecommerce,Boys,Sleepwear,30205.71,597.0,50.6,4637.43,141.09,14870.01,0.4923,66066.92,92693.3,61610.61,23543.4
FY2025-10,2025,Nov,10,Q4,ECOM,Ecommerce,Boys,Sleepwear,40966.93,782.0,52.39,6545.74,159.8,20141.27,0.4916,93424.02,128623.51,82871.96,34973.86
FY2025-11,2025,Dec,11,Q4,ECOM,Ecommerce,Boys,Sleepwear,45174.24,872.0,51.81,7766.36,231.12,22105.4,0.4893,132004.32,119233.74,40401.14,14201.95
FY2025-12,2025,Jan,12,Q4,ECOM,Ecommerce,Boys,Sleepwear,20385.95,397.0,51.35,2962.72,99.33,9996.68,0.4904,113424.54,89976.54,0.0,0.0
FY2026-01,2026,Feb,1,Q1,ECOM,Ecommerce,Boys,Sleepwear,22551.4,435.0,51.84,3401.89,104.87,11256.57,0.4992,91329.28,70877.86,5606.74,2065.93
FY2026-02,2026,Mar,2,Q1,ECOM,Ecommerce,Boys,Sleepwear,31059.38,577.0,53.83,3989.97,141.73,16250.64,0.5232,69818.47,82944.5,48317.11,16183.02
FY2026-03,2026,Apr,3,Q1,ECOM,Ecommerce,Boys,Sleepwear,35838.12,700.0,51.2,7567.22,150.36,15678.53,0.4375,78043.79,103156.86,68668.77,23441.42
FY2026-04,2026,May,4,Q2,ECOM,Ecommerce,Boys,Sleepwear,34561.14,644.0,53.67,4655.59,128.22,17595.32,0.5091,104771.76,103494.61,38067.8,13379.45
FY2026-05,2026,Jun,5,Q2,ECOM,Ecommerce,Boys,Sleepwear,28264.87,534.0,52.93,4291.55,111.3,14215.21,0.5029,105359.19,73209.22,517.75,187.35
FY2026-06,2026,Jul,6,Q2,ECOM,Ecommerce,Boys,Sleepwear,24761.21,482.0,51.37,3944.44,128.07,12302.47,0.4968,70235.79,81153.29,39751.22,15107.98
FY2024-01,2024,Feb,1,Q1,STORE,Retail Stores,Boys,Sleepwear,8024.02,153.0,52.44,1238.95,89.93,4003.89,0.499,25565.65,24440.58,8227.83,2856.02
FY2024-02,2024,Mar,2,Q1,STORE,Retail Stores,Boys,Sleepwear,11114.07,221.0,50.29,1286.25,131.13,6050.0,0.5444,24357.6,35326.62,23500.47,7452.15
FY2024-03,2024,Apr,3,Q1,STORE,Retail Stores,Boys,Sleepwear,14099.34,270.0,52.22,2249.21,136.37,6813.09,0.4832,31979.57,40409.09,24914.44,9542.97
FY2024-04,2024,May,4,Q2,STORE,Retail Stores,Boys,Sleepwear,12342.63,222.0,55.6,1281.28,141.9,6725.02,0.5449,42710.5,37627.43,8682.74,3102.12
FY2024-05,2024,Jun,5,Q2,STORE,Retail Stores,Boys,Sleepwear,11575.98,221.0,52.38,1586.85,127.65,5899.28,0.5096,37082.82,27996.38,4204.04,1354.12
FY2024-06,2024,Jul,6,Q2,STORE,Retail Stores,Boys,Sleepwear,10635.64,207.0,51.38,1455.95,119.58,5295.51,0.4979,27326.02,28554.93,13440.08,5044.83
FY2024-07,2024,Aug,7,Q3,STORE,Retail Stores,Boys,Sleepwear,10818.72,217.0,49.86,1436.84,85.14,5505.18,0.5089,30168.19,32470.36,14642.87,5199.68
FY2024-08,2024,Sep,8,Q3,STORE,Retail Stores,Boys,Sleepwear,10852.2,213.0,50.95,1487.5,134.26,5547.47,0.5112,32691.8,28525.78,8307.94,3110.84
FY2024-09,2024,Oct,9,Q3,STORE,Retail Stores,Boys,Sleepwear,12320.88,243.0,50.7,1492.04,141.02,6424.33,0.5214,27833.87,35804.02,21924.09,9076.43
FY2024-10,2024,Nov,10,Q4,STORE,Retail Stores,Boys,Sleepwear,15582.83,290.0,53.73,2279.3,179.74,8024.21,0.5149,37405.76,57150.38,37786.49,13617.09
FY2024-11,2024,Dec,11,Q4,STORE,Retail Stores,Boys,Sleepwear,17255.51,329.0,52.45,2182.12,170.17,9054.14,0.5247,54340.61,47301.38,12568.57,4681.8
FY2024-12,2024,Jan,12,Q4,STORE,Retail Stores,Boys,Sleepwear,8482.8,157.0,54.03,993.87,75.24,4378.59,0.5162,46016.55,36464.64,0.0,0.0
FY2025-01,2025,Feb,1,Q1,STORE,Retail Stores,Boys,Sleepwear,8197.15,155.0,52.88,1128.19,107.58,4357.86,0.5316,37095.58,31035.61,3372.95,1282.95
FY2025-02,2025,Mar,2,Q1,STORE,Retail Stores,Boys,Sleepwear,13704.94,251.0,54.6,1734.11,151.89,7165.1,0.5228,28942.49,34323.63,20972.08,7380.79
FY2025-03,2025,Apr,3,Q1,STORE,Retail Stores,Boys,Sleepwear,15385.38,292.0,52.69,2015.0,176.57,8020.08,0.5213,34346.77,54481.41,37711.59,13467.53
FY2025-04,2025,May,4,Q2,STORE,Retail Stores,Boys,Sleepwear,14435.15,261.0,55.31,1998.19,141.95,7337.45,0.5083,50250.33,43972.5,10297.46,4672.07
FY2025-05,2025,Jun,5,Q2,STORE,Retail Stores,Boys,Sleepwear,12704.61,241.0,52.72,2152.91,131.71,6113.55,0.4812,44789.74,32573.02,2772.51,936.13
FY2025-06,2025,Jul,6,Q2,STORE,Retail Stores,Boys,Sleepwear,12665.79,248.0,51.07,1330.56,136.18,6722.97,0.5308,31836.5,32741.74,15037.77,5908.85
FY2025-07,2025,Aug,7,Q3,STORE,Retail Stores,Boys,Sleepwear,10850.94,206.0,52.67,1532.58,122.76,5542.1,0.5107,33655.93,34031.3,12881.65,5543.45
FY2025-08,2025,Sep,8,Q3,STORE,Retail Stores,Boys,Sleepwear,13235.29,240.0,55.15,1457.13,134.81,7030.22,0.5312,34861.61,30494.07,10459.69,3590.07
FY2025-09,2025,Oct,9,Q3,STORE,Retail Stores,Boys,Sleepwear,12246.41,219.0,55.92,1597.33,154.55,6402.92,0.5228,30094.87,37397.04,21300.46,8208.51
FY2025-10,2025,Nov,10,Q4,STORE,Retail Stores,Boys,Sleepwear,18542.87,348.0,53.28,1718.68,205.52,10347.72,0.558,38167.68,51975.88,34275.27,13553.68
FY2025-11,2025,Dec,11,Q4,STORE,Retail Stores,Boys,Sleepwear,22082.79,429.0,51.48,2557.23,182.75,11539.82,0.5226,55908.32,44594.64,13509.09,6381.4
FY2025-12,2025,Jan,12,Q4,STORE,Retail Stores,Boys,Sleepwear,8956.33,164.0,54.61,721.56,89.99,5049.2,0.5638,47931.4,38163.52,0.0,0.0
FY2026-01,2026,Feb,1,Q1,STORE,Retail Stores,Boys,Sleepwear,9362.04,177.0,52.89,757.04,117.44,5388.83,0.5756,37484.03,33939.71,6692.2,2415.68
FY2026-02,2026,Mar,2,Q1,STORE,Retail Stores,Boys,Sleepwear,13216.88,250.0,52.87,1784.34,123.72,6909.21,0.5228,32372.1,36392.99,19145.83,7220.88
FY2026-03,2026,Apr,3,Q1,STORE,Retail Stores,Boys,Sleepwear,19725.05,395.0,49.94,1764.96,162.81,10604.41,0.5376,35766.45,47810.56,33696.93,10040.62
FY2026-04,2026,May,4,Q2,STORE,Retail Stores,Boys,Sleepwear,14438.37,276.0,52.31,1403.51,161.0,7978.88,0.5526,50791.07,51171.72,16383.53,4980.24
FY2026-05,2026,Jun,5,Q2,STORE,Retail Stores,Boys,Sleepwear,14786.9,274.0,53.97,1880.21,144.06,7584.43,0.5129,46951.32,35023.88,4883.73,1561.55
FY2026-06,2026,Jul,6,Q2,STORE,Retail Stores,Boys,Sleepwear,11041.24,204.0,54.12,1111.65,115.52,6072.12,0.5499,35405.57,37273.1,14135.94,4532.29
FY2024-01,2024,Feb,1,Q1,WHSL,Wholesale,Boys,Sleepwear,15637.9,400.0,39.09,506.64,21.4,7002.37,0.4478,15843.92,16179.6,16501.62,8558.88
FY2024-02,2024,Mar,2,Q1,WHSL,Wholesale,Boys,Sleepwear,12377.33,294.0,42.1,218.57,13.23,5740.46,0.4638,15880.28,11076.1,7804.95,4234.8
FY2024-03,2024,Apr,3,Q1,WHSL,Wholesale,Boys,Sleepwear,5999.39,151.0,39.73,164.64,7.27,2722.52,0.4538,10163.16,6423.78,2431.92,1274.51
FY2024-04,2024,May,4,Q2,WHSL,Wholesale,Boys,Sleepwear,5728.33,136.0,42.12,110.75,5.58,2637.43,0.4604,6093.27,5931.49,5682.88,2992.9
FY2024-05,2024,Jun,5,Q2,WHSL,Wholesale,Boys,Sleepwear,13013.95,324.0,40.17,298.56,15.76,5963.78,0.4583,5741.89,14323.54,21909.92,8737.38
FY2024-06,2024,Jul,6,Q2,WHSL,Wholesale,Boys,Sleepwear,11776.8,291.0,40.47,339.82,12.92,5369.82,0.456,11134.54,15367.76,16362.76,9422.54
FY2024-07,2024,Aug,7,Q3,WHSL,Wholesale,Boys,Sleepwear,7362.54,189.0,38.96,159.49,6.77,3371.47,0.4579,14289.08,7322.86,562.58,284.3
FY2024-08,2024,Sep,8,Q3,WHSL,Wholesale,Boys,Sleepwear,10265.31,264.0,38.88,243.36,10.95,4685.44,0.4564,7485.93,8185.44,11219.13,5357.38
FY2024-09,2024,Oct,9,Q3,WHSL,Wholesale,Boys,Sleepwear,15342.82,361.0,42.5,226.59,17.16,7127.59,0.4646,8509.07,13127.83,20205.33,10343.64
FY2024-10,2024,Nov,10,Q4,WHSL,Wholesale,Boys,Sleepwear,8919.34,219.0,40.73,249.62,9.25,4020.21,0.4507,15324.69,7243.65,1097.17,568.5
FY2024-11,2024,Dec,11,Q4,WHSL,Wholesale,Boys,Sleepwear,6354.5,161.0,39.47,85.11,6.35,2958.65,0.4656,7949.85,4254.36,2750.47,1632.42
FY2024-12,2024,Jan,12,Q4,WHSL,Wholesale,Boys,Sleepwear,6891.46,173.0,39.84,123.28,7.63,3173.85,0.4605,4691.48,6105.23,8436.12,3871.06
FY2025-01,2025,Feb,1,Q1,WHSL,Wholesale,Boys,Sleepwear,18736.15,462.0,40.55,464.07,15.11,8523.03,0.4549,6668.65,18071.04,30617.72,15508.7
FY2025-02,2025,Mar,2,Q1,WHSL,Wholesale,Boys,Sleepwear,14046.51,364.0,38.59,369.91,16.24,6391.84,0.455,17628.64,13026.23,9830.25,5099.6
FY2025-03,2025,Apr,3,Q1,WHSL,Wholesale,Boys,Sleepwear,6233.08,146.0,42.69,219.16,8.84,2791.73,0.4479,11777.98,8583.1,3266.2,1680.92
FY2025-04,2025,May,4,Q2,WHSL,Wholesale,Boys,Sleepwear,6439.55,156.0,41.28,161.34,6.82,2933.47,0.4555,7575.46,6683.29,5715.54,2771.62
FY2025-05,2025,Jun,5,Q2,WHSL,Wholesale,Boys,Sleepwear,13517.82,340.0,39.76,383.52,17.42,6154.0,0.4553,6496.06,15395.66,22818.36,13095.09
FY2025-06,2025,Jul,6,Q2,WHSL,Wholesale,Boys,Sleepwear,15411.76,385.0,40.03,419.62,19.96,6996.43,0.454,13042.08,18764.51,21573.77,10425.3
FY2025-07,2025,Aug,7,Q3,WHSL,Wholesale,Boys,Sleepwear,7450.1,182.0,40.93,190.87,9.56,3395.62,0.4558,16250.15,8695.91,96.29,47.13
FY2025-08,2025,Sep,8,Q3,WHSL,Wholesale,Boys,Sleepwear,11407.48,278.0,41.03,223.24,10.56,5265.24,0.4616,8214.94,9296.83,12723.17,6835.54
FY2025-09,2025,Oct,9,Q3,WHSL,Wholesale,Boys,Sleepwear,15180.72,372.0,40.81,393.88,17.05,6906.58,0.455,9657.28,16147.8,22082.17,9227.01
FY2025-10,2025,Nov,10,Q4,WHSL,Wholesale,Boys,Sleepwear,9787.03,245.0,39.95,206.67,9.16,4491.36,0.4589,16679.86,10192.26,3515.26,1777.82
